,district,rooms,size,level,max_levels,price
0,Yunusobod,3,57.0,4,4,52000
1,Yakkasaroy,2,52.0,4,5,56000
2,Chilonzor,2,42.0,4,4,37000
3,Chilonzor,3,65.0,1,4,49500
4,Chilonzor,3,70.0,3,5,55000
5,Chilonzor,1,28.0,1,4,25500
6,Chilonzor,1,30.0,2,4,21200
7,Yakkasaroy,2,32.0,5,5,20000
8,Uchtepa,2,51.0,3,4,26200
9,Chilonzor,1,30.0,1,4,22200
10,Uchtepa,2,30.0,2,5,24200
11,Chilonzor,3,67.0,2,5,30200
12,Chilonzor,1,30.0,2,4,21200
13,Chilonzor,1,30.0,2,4,21200
14,Chilonzor,1,30.0,2,4,21200
15,Chilonzor,1,35.0,1,5,22500
16,Chilonzor,1,43.0,4,4,22500
17,Chilonzor,2,51.0,2,4,21200
18,Mirzo Ulugbek,3,65.0,1,4,32500
19,Chilonzor,2,51.0,2,4,22200
20,Chilonzor,2,51.0,2,4,24200
21,Yakkasaroy,4,90.0,5,5,45000
22,Chilonzor,4,80.0,3,4,56000
23,Yashnobod,2,70.0,5,5,47000
24,Mirzo Ulugbek,3,69.0,1,4,49900
25,Mirobod,3,80.0,2,4,76000
26,Uchtepa,3,96.0,3,4,65000
27,Uchtepa,4,76.0,4,4,47500
28,Uchtepa,2,45.0,4,5,30000
29,Chilonzor,1,27.0,3,4,32000
30,Uchtepa,2,65.0,3,9,44000
31,Chilonzor,2,64.0,3,4,56500
32,Chilonzor,1,42.0,5,9,35000
33,Chilonzor,1,26.0,2,4,23500
34,Uchtepa,4,76.0,5,5,60500
35,Chilonzor,3,80.0,2,4,68000
36,Chilonzor,3,72.0,5,5,41500
37,Uchtepa,4,100.0,3,12,55000
38,Uchtepa,3,65.0,4,4,44000
39,Uchtepa,4,80.0,3,4,52500
40,Uchtepa,3,72.0,6,9,43000
41,Mirobod,2,65.0,1,4,80000
42,Yakkasaroy,2,63.0,1,5,42000
43,Yakkasaroy,2,48.0,5,9,23000
44,Yunusobod,3,70.0,3,4,47000
45,Yakkasaroy,3,102.0,7,12,88784
46,Uchtepa,4,78.0,2,4,65000
47,Chilonzor,4,100.0,1,4,97000
48,Chilonzor,1,34.0,1,4,28500
49,Chilonzor,2,42.0,2,4,34500
50,Uchtepa,4,80.0,4,5,51000
51,Uchtepa,3,90.0,1,12,51000
52,Chilonzor,2,45.0,2,4,48000
53,Chilonzor,3,70.0,5,5,40000
54,Chilonzor,4,96.0,7,9,67000
55,Uchtepa,4,80.0,4,5,68000
56,Uchtepa,2,63.0,1,4,40500
57,Uchtepa,2,56.0,4,5,54000
58,Uchtepa,2,52.0,1,4,36000
59,Uchtepa,3,98.0,2,4,68000
60,Chilonzor,3,96.0,9,9,63000
61,Shayhontohur,4,93.0,4,4,63500
62,Shayhontohur,2,60.0,9,9,49500
63,Chilonzor,5,82.0,4,4,70000
64,Uchtepa,5,120.0,9,9,52000
65,Uchtepa,4,110.0,3,3,91000
66,Chilonzor,4,95.0,2,4,83000
67,Uchtepa,2,56.0,1,4,40500
68,Chilonzor,3,68.0,3,4,48000
69,Olmzor,2,57.0,3,4,42000
70,Yashnobod,1,46.0,11,11,19765
71,Chilonzor,2,45.0,4,4,34500
72,Yunusobod,2,40.0,1,9,40000
73,Mirzo Ulugbek,3,95.0,5,5,50000
74,Yunusobod,2,53.0,1,9,68000
75,Olmzor,2,72.0,4,9,41500
76,Mirzo Ulugbek,3,65.0,4,5,41500
77,Yunusobod,4,82.0,1,4,86000
78,Chilonzor,1,42.0,3,9,25500
79,Chilonzor,2,54.0,4,4,31500
80,Chilonzor,1,42.0,1,4,26500
81,Uchtepa,1,20.0,3,9,14500
